Comment,Designator,Footprint,LCSC
"MountingHole","H1,H2","MountingHole:MountingHole_3.2mm_M3",""
"Conn_02x05_Odd_Even","J1","Connector_PinHeader_1.27mm:PinHeader_2x05_P1.27mm_Vertical_SMD",""
"Conn_02x03_Odd_Even","J2","Connector_PinHeader_1.27mm:PinHeader_2x03_P1.27mm_Vertical_SMD","C178291"
"SW_SPST","SW1","Button_Switch_SMD:SW_SPST_TL3342","C318888"
"fablab","U1","logos:fablab",""
"sc","U2","logos:smartcitizen",""
